"company","bean_origin","REF","review_date","cocoa_percent","company_location","rating","bean_type","broad_bean_origin","cacao_decimal"
"A. Morin","Agua Grande",1876,2016,"63%","France",3.75," ","Sao Tome",0.63
"A. Morin","Kpime",1676,2015,"70%","France",2.75," ","Togo",0.7
"A. Morin","Atsane",1676,2015,"70%","France",3," ","Togo",0.7
"A. Morin","Akata",1680,2015,"70%","France",3.5," ","Togo",0.7
"A. Morin","Quilla",1704,2015,"70%","France",3.5," ","Peru",0.7
"A. Morin","Carenero",1315,2014,"70%","France",2.75,"Criollo","Venezuela",0.7
"A. Morin","Cuba",1315,2014,"70%","France",3.5," ","Cuba",0.7
"A. Morin","Sur del Lago",1315,2014,"70%","France",3.5,"Criollo","Venezuela",0.7
"A. Morin","Puerto Cabello",1319,2014,"70%","France",3.75,"Criollo","Venezuela",0.7
"A. Morin","Pablino",1319,2014,"70%","France",4," ","Peru",0.7
"A. Morin","Panama",1011,2013,"70%","France",2.75," ","Panama",0.7
"A. Morin","Madagascar",1011,2013,"70%","France",3,"Criollo","Madagascar",0.7
"A. Morin","Brazil",1011,2013,"70%","France",3.25," ","Brazil",0.7
"A. Morin","Equateur",1011,2013,"70%","France",3.75," ","Ecuador",0.7
"A. Morin","Colombie",1015,2013,"70%","France",2.75," ","Colombia",0.7
"A. Morin","Birmanie",1015,2013,"70%","France",3," ","Burma",0.7
"A. Morin","Papua New Guinea",1015,2013,"70%","France",3.25," ","Papua New Guinea",0.7
"A. Morin","Chuao",1015,2013,"70%","France",4,"Trinitario","Venezuela",0.7
"A. Morin","Piura",1019,2013,"70%","France",3.25," ","Peru",0.7
"A. Morin","Chanchamayo Province",1019,2013,"70%","France",3.5," ","Peru",0.7
"A. Morin","Chanchamayo Province",1019,2013,"63%","France",4," ","Peru",0.63
"A. Morin","Bolivia",797,2012,"70%","France",3.5," ","Bolivia",0.7
"A. Morin","Peru",797,2012,"63%","France",3.75," ","Peru",0.63
"Acalli","Chulucanas, El Platanal",1462,2015,"70%","U.S.A.",3.75," ","Peru",0.7
"Acalli","Tumbes, Norandino",1470,2015,"70%","U.S.A.",3.75,"Criollo","Peru",0.7
"Adi","Vanua Levu",705,2011,"60%","Fiji",2.75,"Trinitario","Fiji",0.6
"Adi","Vanua Levu, Toto-A",705,2011,"80%","Fiji",3.25,"Trinitario","Fiji",0.8
"Adi","Vanua Levu",705,2011,"88%","Fiji",3.5,"Trinitario","Fiji",0.88
"Adi","Vanua Levu, Ami-Ami-CA",705,2011,"72%","Fiji",3.5,"Trinitario","Fiji",0.72
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"55%","Ecuador",2.75,"Forastero (Arriba)","Ecuador",0.55
"Aequare (Gianduja)","Los Rios, Quevedo, Arriba",370,2009,"70%","Ecuador",3,"Forastero (Arriba)","Ecuador",0.7
"Ah Cacao","Tabasco",316,2009,"70%","Mexico",3,"Criollo","Mexico",0.7
"Akesson's (Pralus)","Bali (west), Sukrama Family, Melaya area",636,2011,"75%","Switzerland",3.75,"Trinitario","Indonesia",0.75
"Akesson's (Pralus)","Madagascar, Ambolikapiky P.",502,2010,"75%","Switzerland",2.75,"Criollo","Madagascar",0.75
"Akesson's (Pralus)","Monte Alegre, D. Badero",508,2010,"75%","Switzerland",2.75,"Forastero","Brazil",0.75
"Alain Ducasse","Trinite",1215,2014,"65%","France",2.75,"Trinitario","Trinidad",0.65
"Alain Ducasse","Vietnam",1215,2014,"75%","France",2.75,"Trinitario","Vietnam",0.75
"Alain Ducasse","Madagascar",1215,2014,"75%","France",3,"Trinitario","Madagascar",0.75
"Alain Ducasse","Chuao",1061,2013,"75%","France",2.5,"Trinitario","Venezuela",0.75
"Alain Ducasse","Piura, Perou",1173,2013,"75%","France",2.5," ","Peru",0.75
"Alexandre","Winak Coop, Napo",1944,2017,"70%","Netherlands",3.5,"Forastero (Nacional)","Ecuador",0.7
"Alexandre","La Dalia, Matagalpa",1944,2017,"70%","Netherlands",3.5,"Criollo, Trinitario","Nicaragua",0.7
"Alexandre","Tien Giang",1944,2017,"70%","Netherlands",3.5,"Trinitario","Vietnam",0.7
"Alexandre","Makwale Village, Kyela",1944,2017,"70%","Netherlands",3.5,"Forastero","Tanzania",0.7
"Altus aka Cao Artisan","Momotombo",1728,2016,"60%","U.S.A.",2.75," ","Nicaragua",0.6
"Altus aka Cao Artisan","Acopagro",1728,2016,"60%","U.S.A.",3," ","Peru",0.6
"Altus aka Cao Artisan","CIAAB Coop",1732,2016,"60%","U.S.A.",2.5," ","Bolivia",0.6
"Altus aka Cao Artisan","Villa Andina",1732,2016,"60%","U.S.A.",2.5," ","Peru",0.6
"Altus aka Cao Artisan","Gruppo Salinas",1732,2016,"60%","U.S.A.",2.75," ","Ecuador",0.6
"Altus aka Cao Artisan","Sur del Lago",1125,2013,"60%","U.S.A.",2.5," ","Venezuela",0.6
"Altus aka Cao Artisan","Conacado",1125,2013,"60%","U.S.A.",3,"Trinitario","Dominican Republic",0.6
"Altus aka Cao Artisan","Bolivia",1129,2013,"80%","U.S.A.",3.25," ","Bolivia",0.8
"Altus aka Cao Artisan","Bolivia",1133,2013,"60%","U.S.A.",3," ","Bolivia",0.6
"Altus aka Cao Artisan","Peru",1133,2013,"60%","U.S.A.",3.25," ","Peru",0.6
"Amano","Morobe",725,2011,"70%","U.S.A.",4," ","Papua New Guinea",0.7
"Amano","Dos Rios",470,2010,"70%","U.S.A.",3.75," ","Dominican Republic",0.7
"Amano","Guayas",470,2010,"70%","U.S.A.",4," ","Ecuador",0.7
"Amano","Chuao",544,2010,"70%","U.S.A.",3,"Trinitario","Venezuela",0.7
"Amano","Montanya",363,2009,"70%","U.S.A.",3," ","Venezuela",0.7
"Amano","Bali, Jembrana",304,2008,"70%","U.S.A.",2.75," ","Indonesia",0.7
"Amano","Madagascar",129,2007,"70%","U.S.A.",3.5,"Trinitario","Madagascar",0.7
"Amano","Cuyagua",147,2007,"70%","U.S.A.",3," ","Venezuela",0.7
"Amano","Ocumare",175,2007,"70%","U.S.A.",3.75,"Criollo","Venezuela",0.7
"Amatller (Simon Coll)","Ghana",322,2009,"70%","Spain",3,"Forastero","Ghana",0.7
"Amatller (Simon Coll)","Ecuador",327,2009,"70%","Spain",2.75," ","Ecuador",0.7
"Amatller (Simon Coll)","Ecuador",464,2009,"85%","Spain",2.75," ","Ecuador",0.85
"Amatller (Simon Coll)","Ghana",464,2009,"85%","Spain",3,"Forastero","Ghana",0.85
"Amazona","LamasdelChanka, San Martin, Oro Verde coop",1145,2013,"72%","Peru",3.25," ","Peru",0.72
"Amazona","Bellavista Gran Pajeten, San Martin",1145,2013,"73%","Peru",3.5,"Trinitario","Peru",0.73
"Ambrosia","Belize",1494,2015,"64%","Canada",3,"Trinitario","Belize",0.64
"Ambrosia","Madagascar",1494,2015,"66%","Canada",3.25,"Trinitario","Madagascar",0.66
"Ambrosia","Dominican Republic",1498,2015,"75%","Canada",3.25," ","Dominican Republic",0.75
"Ambrosia","Papua New Guinea",1498,2015,"63%","Canada",3.25," ","Papua New Guinea",0.63
"Ambrosia","Venezuela",1498,2015,"70%","Canada",3.25," ","Venezuela",0.7
"Ambrosia","Peru",1498,2015,"68%","Canada",3.5," ","Peru",0.68
"Amedei","Piura, Blanco de Criollo",979,2012,"70%","Italy",3.75," ","Peru",0.7
"Amedei","Porcelana",111,2007,"70%","Italy",4,"Criollo (Porcelana)","Venezuela",0.7
"Amedei","Nine",111,2007,"75%","Italy",4,"Blend"," ",0.75
"Amedei","Chuao",111,2007,"70%","Italy",5,"Trinitario","Venezuela",0.7
"Amedei","Ecuador",123,2007,"70%","Italy",3,"Trinitario","Ecuador",0.7
"Amedei","Jamaica",123,2007,"70%","Italy",3,"Trinitario","Jamaica",0.7
"Amedei","Grenada",123,2007,"70%","Italy",3.5,"Trinitario","Grenada",0.7
"Amedei","Venezuela",123,2007,"70%","Italy",3.75,"Trinitario (85% Criollo)","Venezuela",0.7
"Amedei","Madagascar",123,2007,"70%","Italy",4,"Trinitario (85% Criollo)","Madagascar",0.7
"Amedei","Trinidad",129,2007,"70%","Italy",3.5,"Trinitario","Trinidad",0.7
"Amedei","Toscano Black",170,2007,"63%","Italy",3.5,"Blend"," ",0.63
"Amedei","Toscano Black",40,2006,"70%","Italy",5,"Blend"," ",0.7
"Amedei","Toscano Black",75,2006,"66%","Italy",4,"Blend"," ",0.66
"AMMA","Catongo",1065,2013,"75%","Brazil",3.25,"Forastero (Catongo)","Brazil",0.75
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,"85%","Brazil",2.75,"Forastero (Parazinho)","Brazil",0.85
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,"50%","Brazil",3.75,"Forastero (Parazinho)","Brazil",0.5
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,"75%","Brazil",3.75,"Forastero (Parazinho)","Brazil",0.75
"AMMA","Monte Alegre, 3 diff. plantations",572,2010,"60%","Brazil",4,"Forastero (Parazinho)","Brazil",0.6
"Anahata","Elvesia",1259,2014,"75%","U.S.A.",3," ","Dominican Republic",0.75
"Animas","Alto Beni",1852,2016,"75%","U.S.A.",3.5," ","Bolivia",0.75
"Ara","Madagascar",1375,2014,"75%","France",3,"Trinitario","Madagascar",0.75
"Ara","Chiapas",1379,2014,"72%","France",2.5," ","Mexico",0.72
"Ara","Equateur",1379,2014,"75%","France",2.75," ","Ecuador",0.75
"Ara","Trincheras",1379,2014,"75%","France",3," ","Venezuela",0.75
"Arete","San Juan",1724,2016,"70%","U.S.A.",3.5,"Trinitario","Trinidad",0.7
"Arete","Kokoa Kamili",1724,2016,"70%","U.S.A.",3.75," ","Tanzania",0.7
"Arete","Tien Giang",1900,2016,"73%","U.S.A.",3.5,"Trinitario","Vietnam",0.73
